command,mean,stddev,median,user,system,min,max
cargo run --release -- -m blocksworld -v enum_invariant -i instance_14 -a seq -t 300 ,26.865908172185,0.9660405283537907,26.865908172185,26.82000866,0.050317644999999994,26.182814363685,27.549001980685002
cargo run --release -- -m blocksworld -v enum_invariant -i instance_15 -a seq -t 300 ,16.433770920685,0.15753575126669692,16.433770920685,16.40207016,0.037975645,16.322376322685002,16.545165518685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_16 -a seq -t 300 ,92.403526961685,0.18081570478712172,92.403526961685,92.31614066,0.085971145,92.275670950685,92.531382972685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_17 -a seq -t 300 ,79.263914852185,0.5053068532314616,79.263914852185,79.16903715999999,0.093970145,78.906608949685,79.621220754685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_18 -a seq -t 300 ,67.316310405685,0.2131557934532607,67.316310405685,67.23686966,0.08397464499999999,67.165586498685,67.467034312685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_19 -a seq -t 300 ,183.52734669018497,0.5741245753841812,183.52734669018497,183.21073716,0.268331645,183.12137930968498,183.933314070685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_20 -a seq -t 300 ,171.68975530968498,0.5299312748368861,171.68975530968498,171.49308716000002,0.179948145,171.315037311685,172.06447330768498
cargo run --release -- -m blocksworld -v enum_invariant -i instance_21 -a seq -t 300 ,189.757617442185,1.3016460101762035,189.757617442185,189.53254815999998,0.20594264499999998,188.83721472168497,190.678020162685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_22 -a seq -t 300 ,258.361800603185,2.443678049021748,258.361800603185,257.96131166,0.36591964499999996,256.633859283685,260.089741922685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_23 -a seq -t 300 ,255.396449979685,1.0420589090710888,255.396449979685,255.08868716,0.282348645,254.65960305868498,256.133296900685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_24 -a seq -t 300 ,281.866745949685,4.067892005183807,281.866745949685,281.48468366,0.361933645,278.990311927685,284.74317997168504
cargo run --release -- -m blocksworld -v enum_invariant -i instance_25 -a seq -t 300 ,317.569698028685,3.090830662566386,317.569698028685,316.76739016,0.7438406449999999,315.384150707685,319.755245349685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_26 -a seq -t 300 ,311.68847058918504,14.034138859265099,311.68847058918504,311.11326815999996,0.533901645,301.764835833685,321.612105344685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_27 -a seq -t 300 ,317.45582533818504,0.9372229925272834,317.45582533818504,316.68898265999997,0.7298511449999999,316.793108604685,318.118542071685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_28 -a seq -t 300 ,311.71691423918503,9.930472566982063,311.71691423918503,310.9501041599999,0.7238661449999999,304.695009746685,318.738818731685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_29 -a seq -t 300 ,313.31754379868505,1.6263581761587156,313.31754379868505,312.59919415999997,0.7019266449999999,312.167534903685,314.46755269368504
cargo run --release -- -m blocksworld -v enum_invariant -i instance_30 -a seq -t 300 ,317.30936000218503,1.366247248935827,317.30936000218503,316.42839965999997,0.8422466449999999,316.343277307685,318.275442696685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_31 -a seq -t 300 ,332.743874301185,1.5379240313254814,332.743874301185,331.94041566,0.7522056449999999,331.656397789685,333.831350812685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_32 -a seq -t 300 ,331.78737754018505,2.6771994087277218,331.78737754018505,330.9069866599999,0.8439031449999999,329.89431168368503,333.680443396685
cargo run --release -- -m blocksworld -v enum_invariant -i instance_33 -a seq -t 300 ,322.31866494118503,1.3333388712775824,322.31866494118503,321.47722766,0.8078941449999999,321.37585198368504,323.26147789868503
