command,mean,stddev,median,user,system,min,max
cargo run --release -- -m blocksworld -v bool_explicit -i instance_25 -a inc -t 300 ,370.7042922357999,1.7649586656569543,370.7042922357999,370.47618906499997,0.18232287,369.45627799479996,371.95230647679995
cargo run --release -- -m blocksworld -v bool_explicit -i instance_26 -a inc -t 300 ,345.3974188728,22.04310824292308,345.3974188728,345.17420206500003,0.19394836999999998,329.8105875558,360.9842501898
cargo run --release -- -m blocksworld -v bool_explicit -i instance_27 -a inc -t 300 ,310.00428067179996,0.2609931525339198,310.00428067179996,309.799923565,0.17795836999999998,309.81973064379997,310.18883069979995
cargo run --release -- -m blocksworld -v bool_explicit -i instance_28 -a inc -t 300 ,338.6453018338,1.395875047816299,338.6453018338,338.468755065,0.15996837,337.65826912179995,339.63233454579995
cargo run --release -- -m blocksworld -v bool_explicit -i instance_29 -a inc -t 300 ,402.48104012529996,1.1908409053679463,402.48104012529996,402.201642065,0.22794636999999998,401.63898844579995,403.32309180479996
cargo run --release -- -m blocksworld -v bool_explicit -i instance_30 -a inc -t 300 ,304.9888646603,6.049628640700928,304.9888646603,304.730340565,0.20393487,300.7111312248,309.26659809579996
cargo run --release -- -m blocksworld -v bool_explicit -i instance_31 -a inc -t 300 ,337.7999044143,2.2393245343269625,337.7999044143,337.527405565,0.22994287000000002,336.2164628508,339.3833459778
cargo run --release -- -m blocksworld -v bool_explicit -i instance_32 -a inc -t 300 ,357.7280298778,0.6572416576463173,357.7280298778,357.345528065,0.30190287,357.2632898448,358.1927699108
cargo run --release -- -m blocksworld -v bool_explicit -i instance_33 -a inc -t 300 ,433.6677606723,2.671117293388968,433.6677606723,433.35321806499996,0.26832037,431.7789955208,435.5565258238
cargo run --release -- -m blocksworld -v bool_explicit -i instance_34 -a inc -t 300 ,366.88649805679995,0.5118579408793943,366.88649805679995,366.497201065,0.35593087,366.52455983579995,367.24843627779995
cargo run --release -- -m blocksworld -v bool_explicit -i instance_35 -a inc -t 300 ,525.6659509078,7.5119186964756794,525.6659509078,525.179140565,0.42592187,520.3542222578001,530.9776795578
